index,date,open,high,low,close,volume,returns,log_returns,volatility,ma_20,ma_50,rsi,sentiment_score,regime
109,2025-01-10,92552.49,95836.0,92206.02,94726.11,31482.86424,0.02348526765730452,0.02321373193383758,0.02414161859854756,96076.10449999999,97573.80679999999,50.860729084371926,1,Bear
110,2025-01-11,94726.1,95050.94,93831.73,94599.99,7047.9043,-0.0013314174940783907,-0.0013323046178590012,0.023653578893500067,96046.79049999999,97487.9666,48.53764568496744,-1,Bear
111,2025-01-12,94599.99,95450.1,93711.19,94545.06,8606.86622,-0.0005806554525006336,-0.0005808240981644022,0.023643929458375814,96029.97,97425.4198,51.79882001901238,-1,Bear
112,2025-01-13,94545.07,95940.0,89256.69,94536.1,42619.56423,-9.476962625010188e-05,-9.477411717486941e-05,0.021768123959119354,95823.596,97358.141,54.05776283149274,-1,Bear
113,2025-01-14,94536.11,97371.0,94346.22,96560.86,27846.61753,0.021417849900725594,0.021191710994825055,0.02229102055237575,95680.159,97429.15800000001,56.565586355257786,1,Bear
114,2025-01-15,96560.85,100681.94,96500.0,100497.35,30509.99179,0.04076693186038316,0.03995787586321273,0.022449925398765766,95915.44649999999,97599.8018,61.51100507566723,1,Bear
115,2025-01-16,100497.35,100866.66,97335.13,99987.3,27832.85317,-0.005075258203325772,-0.005088181069371945,0.022122517578699222,96199.86,97682.2856,56.31606072653916,-1,Bear
116,2025-01-17,99987.3,105865.22,99950.77,104077.48,39171.85292,0.04090699518838892,0.04009244384371839,0.023595302046641033,96638.734,97850.9556,61.067453478937104,1,Bear
117,2025-01-18,104077.47,104988.88,102277.55,104556.23,24307.82998,0.0045999384304846735,0.004589391046213007,0.0230762310199474,97179.6355,97992.8802,61.68864592261772,1,Bear
118,2025-01-19,104556.23,106422.43,99651.6,101331.57,43397.28298,-0.030841395103859304,-0.0313270015419219,0.024284623476381606,97606.6115,98091.3518,54.91650769523339,-1,Bear
119,2025-01-20,101331.57,109588.0,99550.0,102260.01,89529.231732,0.009162396279856155,0.009120676170877553,0.024291290385428415,98040.812,98192.8484,50.04480531804798,1,Bear
120,2025-01-21,102260.0,107240.81,100119.04,106143.82,45941.02002,0.03797975376689289,0.03727627951194209,0.02535450758568616,98618.4135,98398.9124,67.77899066242207,1,Bull
121,2025-01-22,106143.82,106394.46,103339.12,103706.66,22248.69254,-0.022960922265658046,-0.023228630058235156,0.025720016146595703,98954.50700000001,98556.05180000002,66.38375202048054,-1,Bull
122,2025-01-23,103706.66,106850.0,101262.28,103910.34,53953.12031,0.0019640011547956693,0.001962075026061362,0.025636574552171273,99241.315,98662.51220000001,73.581998877982,1,Bull
123,2025-01-24,103910.35,107120.0,102750.0,104870.5,23609.24017,0.009240273874573157,0.009197843721146091,0.02566839563752609,99573.815,98821.0096,72.18017198592804,1,Bull
124,2025-01-25,104870.51,105286.52,104106.09,104746.85,9068.32377,-0.0011790732379457491,-0.0011797688916675218,0.025684990361913417,99892.977,98921.12980000001,72.18796904356225,-1,Bull
125,2025-01-26,104746.86,105500.0,102520.44,102620.0,9812.51238,-0.020304667873067395,-0.02051364123722352,0.02477453105970411,99912.197,98976.89,66.19029096625178,-1,Bull
126,2025-01-27,102620.01,103260.0,97777.77,102082.83,50758.1341,-0.0052345546677060595,-0.005248302947392055,0.021452844992772745,100168.60800000001,98996.3548,64.81737671018514,-1,Bull
127,2025-01-28,102082.83,103800.0,100272.68,101335.52,22022.05765,-0.0073206238502596666,-0.00734755111376838,0.020948022642181444,100482.3535,99077.5358,59.869747266867215,-1,Bull
